Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Release_v1.0,Chrome 122.0.0.0,,,28-02-2024 13:24:37,28-02-2024 13:25:23,46.172s,PASSED
,,,,,,,
Test Cases/Website,Chrome 122.0.0.0,,,28-02-2024 13:24:37,28-02-2024 13:25:23,46.035s,PASSED
"testData = findTestData(""Data Files/DataTest"")",Chrome 122.0.0.0,,,28-02-2024 13:24:37,28-02-2024 13:24:37,0.294s,PASSED
"email = testData.getObjectValue(""email"", 1)",Chrome 122.0.0.0,,,28-02-2024 13:24:37,28-02-2024 13:24:37,0.018s,PASSED
"password = testData.getObjectValue(""password"", 1)",Chrome 122.0.0.0,,,28-02-2024 13:24:37,28-02-2024 13:24:37,0.002s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,28-02-2024 13:24:37,28-02-2024 13:24:39,1.282s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?openid.pape.max_auth_age=900&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fpath%3D%252Fgp%252Fyourstore%252Fhome%26signIn%3D1%26useRedirectOnSuccess%3D1%26action%3Dsign-out%26ref_%3Dnav_AccountFlyout_signout&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0"")",Chrome 122.0.0.0,,,28-02-2024 13:24:39,28-02-2024 13:24:59,20.622s,PASSED
"setText(findTestObject(""Object Repository/Website/Login/input_Email or mobile phone number_email""), email)",Chrome 122.0.0.0,,,28-02-2024 13:24:59,28-02-2024 13:25:00,0.974s,PASSED
"click(findTestObject(""Object Repository/Website/Login/input_Enter your email or mobile phone number_continue""))",Chrome 122.0.0.0,,,28-02-2024 13:25:00,28-02-2024 13:25:02,1.601s,PASSED
"setText(findTestObject(""Object Repository/Website/Login/input_Forgot your password_password""), password)",Chrome 122.0.0.0,,,28-02-2024 13:25:02,28-02-2024 13:25:03,1.219s,PASSED
"click(findTestObject(""Object Repository/Website/Login/input_Enter your password_signInSubmit""))",Chrome 122.0.0.0,,,28-02-2024 13:25:03,28-02-2024 13:25:03,0.334s,PASSED
"setText(findTestObject(""Object Repository/Website/product/search""), ""pc"")",Chrome 122.0.0.0,,,28-02-2024 13:25:03,28-02-2024 13:25:08,4.760s,PASSED
"click(findTestObject(""Object Repository/Website/product/Button search""))",Chrome 122.0.0.0,,,28-02-2024 13:25:08,28-02-2024 13:25:15,6.414s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com  pc/span_Add to cart""))",Chrome 122.0.0.0,,,28-02-2024 13:25:15,28-02-2024 13:25:16,1.322s,PASSED
"click(findTestObject(""Object Repository/Website/product/Page cart""))",Chrome 122.0.0.0,,,28-02-2024 13:25:16,28-02-2024 13:25:23,6.845s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,28-02-2024 13:25:23,28-02-2024 13:25:23,0.130s,PASSED
